DATETIME,TEMPERATURE,PRESSURE
2021-12-09 17:46:03,8.612,0.5
2021-12-09 17:46:06,6.048,1.7
2021-12-09 17:46:36,4.435,2.7
2021-12-09 17:51:36,6.095,2.8
2021-12-09 17:56:36,5.477,2.8
2021-12-09 18:01:36,5.142,2.8
2021-12-09 18:06:36,4.967,2.7
2021-12-09 18:11:36,4.838,2.7
2021-12-09 18:16:36,4.744,2.8
2021-12-09 18:21:36,4.668,2.7
2021-12-09 18:26:36,4.616,2.7
2021-12-09 18:31:36,4.574,2.7
2021-12-09 18:36:36,4.543,2.7
2021-12-09 18:41:36,4.512,2.6
2021-12-09 18:46:36,4.488,2.8
2021-12-09 18:51:36,4.466,2.7
2021-12-09 18:51:55,4.883,1.3
2021-12-09 18:51:58,6.318,0.1
